T,X,Y,Z,Label,Perimeter,Volume,Intensity,ExtentX,ExtentY,ExtentZ
31,367,380,1,321,122.01063772559058,30672,17318,72,71,6
31,422,150,8,385,102.55763667401912,18216,9615,66,69,4
31,515,236,10,448,39.69218175057467,1056,763,32,33,1
31,299,349,10,513,39.61686433668576,1050,697,30,35,1
31,417,288,9,564,78.81650168945276,8268,3331,53,52,3
31,445,414,8,610,94.29849244600791,14160,7763,59,60,4
31,521,354,5,625,118.80865560607805,28320,16341,60,59,8
31,422,243,1,642,82.84012450310836,9600,6008,48,50,4
31,501,211,2,671,103.12871946588025,18522,10101,49,54,7
31,569,288,5,702,136.3213647663431,42780,22489,62,69,10
32,154,239,6,3,140.9487378373125,47286,26812,71,74,9
32,207,362,7,66,130.77969663044033,37772,21710,76,71,7
32,261,202,9,130,62.52641970454122,4128,1637,43,48,2
32,325,161,2,193,134.90894017117952,41464,24560,71,73,8
32,267,275,1,258,123.70544639091024,31968,15601,74,72,6
32,363,385,2,321,126.01979411112278,33796,18799,71,68,7
32,424,146,8,385,102.48251385437939,18176,10082,64,71,4
32,514,241,9,448,55.015969517564834,2812,1225,38,37,2
32,306,347,9,513,60.73896322251881,3784,1765,43,44,2
32,417,290,9,564,63.03723000589429,4230,2232,47,45,2
32,455,410,8,610,94.82827037359938,14400,7992,60,60,4
32,517,355,5,625,132.22703762929603,39040,18421,64,61,10
32,418,240,1,642,87.29097884501626,11232,7096,52,54,4
32,520,212,2,671,106.4138172853168,20349,12030,51,57,7
32,571,296,5,702,135.75606351188398,42250,23598,65,65,10
33,158,234,7,3,124.18343553886957,32340,16615,66,70,7
33,206,353,8,66,108.24889889673224,21420,11846,68,63,5
33,261,201,10,130,43.872276858952056,1426,968,31,46,1
33,317,155,3,193,116.73664964577024,26864,13104,46,73,8
33,261,276,2,258,97.17969927104286,15498,8438,41,63,6
33,355,386,2,321,118.67425655967504,28224,13992,56,72,7
33,419,146,8,385,105.44809266700456,19800,6257,55,72,5
33,510,234,10,448,44.37916408947606,1476,754,36,41,1
33,314,353,9,513,63.04716338614158,4232,1999,46,46,2
33,408,286,9,564,80.78772572369242,8904,4055,56,53,3
33,456,408,9,610,96.91562269951139,15372,6672,63,61,4
33,516,365,5,625,128.36842164730686,35721,18917,63,63,9
33,423,248,0,642,88.93836584911749,11880,6061,54,55,4
33,525,206,2,671,103.66049152016375,18810,11971,55,57,6
33,565,305,5,702,112.05531927655443,23760,11768,55,48,9
34,161,237,7,3,105.38414596080226,19764,11486,54,61,6
34,205,346,8,66,99.29055763424316,16530,8165,57,58,5
34,269,196,10,130,40.86026305772105,1152,706,36,32,1
34,329,170,3,193,107.63221781876362,21056,10460,47,56,8
34,282,284,0,258,66.5085573616727,4968,3454,36,46,3
34,342,385,3,321,115.95063335249317,26325,11379,45,65,9
34,433,160,8,385,81.7205261154421,9216,5972,36,64,4
34,510,246,9,448,55.21092497209108,2842,1408,29,49,2
34,322,354,9,513,65.7502503907054,4800,2253,50,48,2
34,404,283,9,564,66.82831495677738,5040,2668,56,45,2
34,455,403,8,610,96.40010431821261,15128,8060,61,62,4
34,506,362,5,625,128.32528346993533,35685,19633,61,65,9
34,424,247,0,642,91.0441934409348,12744,6482,54,59,4
34,534,203,2,671,105.49068075429517,19824,12303,59,56,6
34,570,323,5,702,100.24247243516605,17010,8925,54,35,9
35,137,242,8,4,79.85764198898009,8600,5239,43,50,4
35,172,218,3,35,89.54806102583734,12126,6335,43,47,6
35,191,346,9,67,66.26670592625204,4914,2202,39,42,3
35,235,371,5,98,92.22891617502334,13248,6750,46,48,6
35,236,208,10,131,22.00769204384562,180,117,12,15,1
35,294,178,10,162,23.70706759339985,225,141,15,15,1
35,291,159,3,194,88.63789610677841,11760,5665,35,48,7
35,364,161,2,225,83.60958147359213,9870,5300,35,47,6
35,238,286,1,259,78.67962852631393,8225,4136,35,47,5
35,312,280,1,290,68.38301609965923,5400,3032,30,45,4
35,326,393,3,322,89.07291728852998,11934,5740,39,51,6
35,392,373,2,353,88.75832817895213,11808,6250,41,48,6
35,397,141,9,386,52.75952685991267,2480,1297,31,40,2
35,466,143,8,417,81.569504035874,9165,4375,39,47,5
35,531,252,10,480,35.191917973602195,736,513,23,32,1
35,296,355,9,513,68.40833376805888,5406,2183,51,53,2
35,390,280,9,564,68.40833376805888,5406,2347,53,51,2
